OSEBuildingID,Buildingtype,Primarypropertytype,Neighborhood,Propertygfaparking,Propertygfabuilding(S),Largestpropertyusetype,Largestpropertyusetypegfa,Energystarscore,Sourceeui(Kbtu/Sf),Siteenergyuse(Kbtu),Steamuse(Kbtu),Totalghgemissions,Ghgemissionsintensity,Latitude,Longitude,BuiltAge,avg_building,avg_floor,Allpropertynumber
163,NonResidential,Other,DOWNTOWN,0,61156,Other,42755.0,68.14306878306878,361.9,10434387.0,0.0,220.94,3.1,47.60158047,-122.32771508,9,61156.0,61156.0,2
167,NonResidential,Other,DOWNTOWN,0,72820,Museum,58000.0,68.14306878306878,90.2,2076630.0,0.0,42.99,0.5,47.59809588,-122.3228283,105,72820.0,72820.0,1
168,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,14200,148022,Hotel,113702.0,75.0,152.8,7753080.0,0.0,208.03,1.17,47.62557152,-122.347197,19,162222.0,162222.0,2
169,Education,K-12 School,SOUTHEAST,0,289588,K-12 School,289588.0,92.0,75.9,8747819.0,0.0,181.93,0.54,47.57604857,-122.2928463,25,289588.0,289588.0,1
170,NonResidential,College/University,EAST,0,63330,College/University,64820.0,68.14306878306878,104.7,2755578.0,0.0,60.35,0.83,47.61496242,-122.3217405,100,63330.0,63330.0,1
174,NonResidential,Other,GREATER DUWAMISH,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,68.14306878306878,192.5,6577130.0,0.0,211.33,2.95,47.59455098,-122.3218127,65,67356.0,67356.0,4
175,Education,K-12 School,CENTRAL,0,254523,K-12 School,254523.0,62.0,119.5,13609040.0,0.0,366.61,1.31,47.60502046,-122.3018326,7,254523.0,254523.0,1
176,Education,K-12 School,SOUTHEAST,0,78804,K-12 School,78804.0,92.0,76.6,2447651.0,0.0,53.45,0.59,47.51466446,-122.2588187,14,78804.0,78804.0,1
177,Education,K-12 School,CENTRAL,0,66994,K-12 School,66994.0,83.0,90.4,2266570.0,0.0,39.29,0.47,47.61229388,-122.2908219,13,66994.0,66994.0,1
178,Education,K-12 School,GREATER DUWAMISH,0,98357,K-12 School,98357.0,90.0,76.7,3265995.0,0.0,82.55,0.75,47.52933502,-122.28844452,15,98357.0,98357.0,1
179,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,0,54765,Office,25765.0,68.14306878306878,240.7,4316654.0,0.0,59.61,0.8,47.53830025,-122.2840532,57,54765.0,54765.0,2
180,NonResidential,Other,GREATER DUWAMISH,0,89821,Other - Lodging/Residential,46483.0,68.14306878306878,25.3,2017694.0,0.0,104.17,1.16,47.53830025,-122.2840532,6,89821.0,89821.0,3
182,NonResidential,College/University,MAGNOLIA / QUEEN ANNE,0,52611,College/University,52611.0,68.14306878306878,198.3,4399828.0,0.0,105.32,1.77,47.65153666,-122.3615464,35,52611.0,52611.0,1
183,NonResidential,Residence Hall/Dormitory,MAGNOLIA / QUEEN ANNE,37500,102100,Residence Hall/Dormitory,135520.0,88.0,71.5,4418055.0,0.0,123.02,0.81,47.65076266,-122.3638034,14,139600.0,139600.0,1
185,Education,K-12 School,NORTH,0,236758,K-12 School,237357.0,96.0,78.7,8050977.0,0.0,202.97,0.77,47.70783561,-122.294626,4,236758.0,236758.0,2
187,NonResidential,Other,CENTRAL,0,250981,Other,137565.0,68.14306878306878,161.9,13901935.0,3994742.0,398.56,1.43,47.60411727,-122.3153334,44,250981.0,250981.0,2
189,Education,K-12 School,NORTHWEST,0,62526,K-12 School,62526.0,97.0,66.2,1841968.0,0.0,49.08,0.71,47.68734351,-122.3598407,13,62526.0,62526.0,1
190,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,0,64015,Office,30000.0,19.0,169.6,3349666.0,0.0,53.27,0.65,47.5353246,-122.3186034,8,64015.0,64015.0,3
195,NonResidential,Other,NORTH,0,54224,Other/Specialty Hospital,47012.0,68.14306878306878,319.7,7613116.0,0.0,249.01,4.33,47.70624752,-122.3217548,51,54224.0,54224.0,1
197,NonResidential,Retail Store,NORTH,0,124342,Retail Store,122000.0,75.0,226.1,8835104.0,0.0,65.14,0.22,47.70798492,-122.32534027,50,124342.0,124342.0,1
200,NonResidential,Other,NORTHWEST,0,55442,Financial Office,28636.0,74.0,188.8,3091559.0,0.0,80.49,1.31,47.70952866,-122.3346575,19,55442.0,55442.0,3
205,Education,K-12 School,BALLARD,0,242795,K-12 School,242795.0,82.0,102.0,8728584.0,0.0,119.09,0.36,47.67678666,-122.3739682,16,242795.0,242795.0,1
209,NonResidential,"Self-Storage Facility
",EAST,0,84870,Self-Storage Facility,85521.0,68.14306878306878,24.6,1136698.0,0.0,40.35,0.45,47.61229181,-122.3170942,105,84870.0,84870.0,1
212,Education,K-12 School,SOUTHEAST,0,173185,K-12 School,173185.0,72.0,63.1,6863464.0,0.0,282.34,1.59,47.54657866,-122.2820193,63,173185.0,173185.0,1
214,Education,K-12 School,DELRIDGE,0,145341,K-12 School,139069.0,77.0,66.5,4998015.0,0.0,177.1,1.16,47.54806021,-122.3620019,52,145341.0,145341.0,1
215,NonResidential,Non-Refrigerated Warehouse,GREATER DUWAMISH,0,114297,Non-Refrigerated Warehouse,114297.0,67.0,31.6,1738724.0,0.0,52.94,0.43,47.54941628,-122.3160421,111,114297.0,114297.0,1
